Names,Niche Link,Atheletic Division,Acceptance Rate,Undergrad #,Graduation Rate,School Website
Western Michigan University,https://www.niche.com/colleges/western-michigan-university/,NCAA Division I-FBS,82%,"15,048",53%,https://wmich.edu/
West Virginia University,https://www.niche.com/colleges/west-virginia-university/,NCAA Division I-FBS,76%,"20,524",57%,http://www.wvu.edu
Bowling Green State University,https://www.niche.com/colleges/bowling-green-state-university/,NCAA Division I-FBS,76%,"13,184",55%,http://www.bgsu.edu
North Dakota State University,https://www.niche.com/colleges/north-dakota-state-university/,NCAA Division I-FCS,93%,"10,680",56%,https://www.ndsu.edu
Old Dominion University,https://www.niche.com/colleges/old-dominion-university/,NCAA Division I-FBS,85%,"15,203",51%,http://www.odu.edu
Shenandoah University,https://www.niche.com/colleges/shenandoah-university/,NCAA Division III (with football),88%,"2,016",57%,https://www.su.edu/
University of Alaska--Fairbanks,https://www.niche.com/colleges/university-of-alaska-fairbanks/,NCAA Division II (without football),73%,"3,189",25%,http://www.uaf.edu
University of Massachusetts--Dartmouth,https://www.niche.com/colleges/university-of-massachusetts---dartmouth/,NCAA Division III (with football),76%,"6,011",48%,http://www.umassd.edu
Benedictine University,https://www.niche.com/colleges/benedictine-university/,NCAA Division III (with football),77%,"2,708",51%,http://www.ben.edu
California State University--Fullerton,https://www.niche.com/colleges/california-state-university---fullerton/,NCAA Division I (without football),48%,"27,994",62%,http://www.fullerton.edu
Dallas Baptist University,https://www.niche.com/colleges/dallas-baptist-university/,NCAA Division II (without football),43%,"2,408",59%,http://www.dbu.edu
New Mexico State University,https://www.niche.com/colleges/new-mexico-state-university/,NCAA Division I-FBS,60%,"9,874",45%,http://www.nmsu.edu/
University of Texas--Arlington,https://www.niche.com/colleges/university-of-texas---arlington/,NCAA Division I (without football),70%,"16,679",48%,http://www.uta.edu
South Dakota State University,https://www.niche.com/colleges/south-dakota-state-university/,NCAA Division I-FCS,91%,"8,474",53%,http://www.sdstate.edu/
Southern Illinois University--Carbondale,https://www.niche.com/colleges/southern-illinois-university-carbondale/,NCAA Division I-FCS,77%,"10,554",44%,http://www.siu.edu
University of Missouri--St. Louis,https://www.niche.com/colleges/university-of-missouri---st-louis/,NCAA Division II (without football),71%,"5,434",53%,http://www.umsl.edu/
University of South Dakota,https://www.niche.com/colleges/university-of-south-dakota/,NCAA Division I-FCS,88%,"4,943",55%,http://www.usd.edu
American International College,https://www.niche.com/colleges/american-international-college/,NCAA Division II (with football),69%,"1,347",44%,https://www.aic.edu/
Ashland University,https://www.niche.com/colleges/ashland-university/,NCAA Division II (with football),72%,"3,441",63%,https://www.ashland.edu
Augusta University,https://www.niche.com/colleges/augusta-university/,NCAA Division II (without football),77%,"4,133",26%,http://www.augusta.edu
Barry University,https://www.niche.com/colleges/barry-university/,NCAA Division II (without football),62%,"2,924",31%,http://www.barry.edu/?source=niche&ad=home
Boise State University,https://www.niche.com/colleges/boise-state-university/,NCAA Division I-FBS,82%,"12,375",39%,https://www.boisestate.edu/
Cardinal Stritch University,https://www.niche.com/colleges/cardinal-stritch-university/,NAIA Division II,82%,"1,205",46%,http://www.stritch.edu
Clark Atlanta University,https://www.niche.com/colleges/clark-atlanta-university/,NCAA Division II (with football),72%,"2,986",38%,http://www.cau.edu
Cleveland State University,https://www.niche.com/colleges/cleveland-state-university/,NCAA Division I (without football),87%,"9,221",41%,http://www.csuohio.edu/
Eastern Michigan University,https://www.niche.com/colleges/eastern-michigan-university/,NCAA Division I-FBS,73%,"12,880",41%,http://www.emich.edu
East Tennessee State University,https://www.niche.com/colleges/east-tennessee-state-university/,NCAA Division I-FCS,92%,"9,371",40%,http://www.etsu.edu/
Florida A&M University,https://www.niche.com/colleges/florida-a-and-m-university/,NCAA Division I-FCS,31%,"6,623",41%,http://www.famu.edu
Florida Atlantic University,https://www.niche.com/colleges/florida-atlantic-university/,NCAA Division I-FBS,60%,"16,252",50%,http://www.fau.edu/
Gardner-Webb University,https://www.niche.com/colleges/gardner-webb-university/,NCAA Division I-FCS,52%,"1,908",45%,http://www.gardner-webb.edu
Georgia Southern University,https://www.niche.com/colleges/georgia-southern-university/,NCAA Division I-FBS,65%,"15,976",51%,http://www.georgiasouthern.edu
Grand Canyon University,https://www.niche.com/colleges/grand-canyon-university/,NCAA Division I (without football),57%,"14,543",43%,http://www.gcu.edu
Indiana State University,https://www.niche.com/colleges/indiana-state-university/,NCAA Division I-FCS,86%,"9,364",37%,http://www.indstate.edu
Indiana University of Pennsylvania,https://www.niche.com/colleges/indiana-university-of-pennsylvania/,NCAA Division II (with football),92%,"10,006",54%,http://www.iup.edu
Jackson State University,https://www.niche.com/colleges/jackson-state-university/,NCAA Division I-FCS,63%,"6,507",38%,http://www.jsums.edu
Kennesaw State University,https://www.niche.com/colleges/kennesaw-state-university/,NCAA Division I-AA,59%,"24,412",42%,http://www.kennesaw.edu
Lamar University,https://www.niche.com/colleges/lamar-university/,NCAA Division I-FCS,76%,"6,161",33%,http://lamar.edu
Liberty University,https://www.niche.com/colleges/liberty-university/,NCAA Division I-FCS,24%,"27,112",51%,http://www.liberty.edu
Lindenwood University,https://www.niche.com/colleges/lindenwood-university/,NCAA Division II (with football),55%,"6,794",49%,http://www.lindenwood.edu
Louisiana Tech University,https://www.niche.com/colleges/louisiana-tech-university/,NCAA Division I-FBS,63%,"7,850",52%,http://www.latech.edu
Middle Tennessee State University,https://www.niche.com/colleges/middle-tennessee-state-university/,NCAA Division I-FBS,69%,"16,019",43%,http://www.mtsu.edu
Morgan State University,https://www.niche.com/colleges/morgan-state-university/,NCAA Division I-FCS,60%,"5,739",32%,http://www.morgan.edu
National Louis University,https://www.niche.com/colleges/national-louis-university/,DNE,76%,901,30%,https://www.nl.edu/academics/harrisonprofessionalpathwaysprogram/
North Carolina A&T State University,https://www.niche.com/colleges/north-carolina-a-and-t-state-university/,NCAA Division I-FCS,54%,"8,747",43%,http://www.ncat.edu
Northern Arizona University,https://www.niche.com/colleges/northern-arizona-university/,NCAA Division I-FCS,78%,"21,494",53%,https://nau.edu/
Northern Illinois University,https://www.niche.com/colleges/northern-illinois-university/,NCAA Division I-FBS,52%,"12,343",47%,http://www.niu.edu
Oakland University,https://www.niche.com/colleges/oakland-university/,NCAA Division I (without football),86%,"12,968",47%,http://oakland.edu
Portland State University,https://www.niche.com/colleges/portland-state-university/,NCAA Division I-FCS,89%,"14,206",48%,http://www.pdx.edu
Prairie View A&M University,https://www.niche.com/colleges/prairie-view-a--and--m-university/,NCAA Division I-FCS,85%,"6,817",31%,http://www.pvamu.edu
Sam Houston State University,https://www.niche.com/colleges/sam-houston-state-university/,NCAA Division I-FCS,72%,"14,497",51%,http://www.shsu.edu/
San Francisco State University,https://www.niche.com/colleges/san-francisco-state-university/,NCAA Division II (without football),68%,"21,515",53%,http://www.sfsu.edu
Spalding University,https://www.niche.com/colleges/spalding-university/,NCAA Division III (without football),50%,920,47%,http://www.spalding.edu
Tennessee State University,https://www.niche.com/colleges/tennessee-state-university/,NCAA Division I-FCS,100%,"5,699",34%,http://www.tnstate.edu
Tennessee Technological University,https://www.niche.com/colleges/tennessee-technological-university/,NCAA Division I-FCS,67%,"8,441",51%,http://www.tntech.edu
Texas A&M University--Commerce,https://www.niche.com/colleges/texas-a-and-m-university---commerce/,NCAA Division II (with football),46%,"6,015",43%,http://www.tamuc.edu/
Texas A&M University--Corpus Christi,https://www.niche.com/colleges/texas-a-and-m-university---corpus-christi/,NCAA Division I (without football),65%,"8,251",35%,http://www.tamucc.edu
Texas A&M University--Kingsville,https://www.niche.com/colleges/texas-a-and-m-university---kingsville/,NCAA Division II (with football),82%,"5,124",29%,http://www.tamuk.edu
Texas Southern University,https://www.niche.com/colleges/texas-southern-university/,NCAA Division I-FCS,51%,"5,776",17%,http://www.tsu.edu
Texas State University,https://www.niche.com/colleges/texas-state-university/,NCAA Division I-FBS,71%,"28,180",54%,http://www.txstate.edu
Texas Woman's University,https://www.niche.com/colleges/texas-womans-university/,NCAA Division II (without football),86%,"7,014",38%,http://www.twu.edu
Trevecca Nazarene University,https://www.niche.com/colleges/trevecca-nazarene-university/,NCAA Division II (without football),72%,"1,251",49%,https://www.trevecca.edu
Trinity International University,https://www.niche.com/colleges/trinity-international-university---deerfield/,NAIA Division I,60%,655,58%,http://www.tiu.edu
University of Akron,https://www.niche.com/colleges/university-of-akron/,NCAA Division I-FBS,96%,"13,827",38%,http://www.uakron.edu
University of Alabama--Huntsville,https://www.niche.com/colleges/the-university-of-alabama-in-huntsville/,NCAA Division II (without football),76%,"5,257",49%,https://www.uah.edu/
University of Arkansas--Little Rock,https://www.niche.com/colleges/university-of-arkansas-at-little-rock/,NCAA Division I (without football),90%,"4,785",30%,http://ualr.edu/www/
University of Louisiana--Lafayette,https://www.niche.com/colleges/university-of-louisiana---lafayette/,NCAA Division I-FBS,51%,"12,876",45%,http://www.louisiana.edu
University of Louisiana--Monroe,https://www.niche.com/colleges/university-of-louisiana---monroe/,NCAA Division I-FBS,76%,"5,208",43%,http://www.ulm.edu
University of Maryland--Eastern Shore,https://www.niche.com/colleges/university-of-maryland-eastern-shore/,NCAA Division I (without football),38%,"2,918",36%,http://www.umes.edu
University of Memphis,https://www.niche.com/colleges/university-of-memphis/,NCAA Division I-FBS,57%,"12,412",42%,http://www.memphis.edu
University of Missouri--Kansas City,https://www.niche.com/colleges/university-of-missouri---kansas-city/,NCAA Division I (without football),62%,"6,669",49%,http://www.umkc.edu/
University of Nebraska--Omaha,https://www.niche.com/colleges/university-of-nebraska-at-omaha/,NCAA Division I (without football),86%,"9,880",45%,http://www.unomaha.edu
University of Nevada--Las Vegas,https://www.niche.com/colleges/university-of-nevada-las-vegas/,NCAA Division I-FBS,83%,"18,322",41%,http://www.unlv.edu/
University of New Orleans,https://www.niche.com/colleges/university-of-new-orleans/,NCAA Division I (without football),60%,"4,684",36%,http://www.uno.edu
University of Northern Colorado,https://www.niche.com/colleges/university-of-northern-colorado/,NCAA Division I-FCS,90%,"8,348",48%,http://www.unco.edu
University of North Texas,https://www.niche.com/colleges/university-of-north-texas/,NCAA Division I-FBS,72%,"25,486",52%,http://www.unt.edu
University of South Alabama,https://www.niche.com/colleges/university-of-south-alabama/,NCAA Division I-FBS,81%,"9,604",38%,http://www.southalabama.edu
University of Southern Mississippi,https://www.niche.com/colleges/university-of-southern-mississippi/,NCAA Division I-FBS,60%,"10,246",45%,http://www.usm.edu
University of Texas--El Paso,https://www.niche.com/colleges/university-of-texas---el-paso/,NCAA Division I-FBS,100%,"13,341",39%,http://www.utep.edu
University of Texas--Rio Grande Valley,https://www.niche.com/colleges/university-of-texas---rio-grande-valley/,NCAA Division I (without football),64%,"17,854",41%,http://www.utrgv.edu
University of Texas--San Antonio,https://www.niche.com/colleges/university-of-texas---san-antonio/,NCAA Division I-FBS,76%,"20,222",35%,http://www.utsa.edu/
University of the Cumberlands,https://www.niche.com/colleges/university-of-the-cumberlands/,NAIA Division I,71%,"1,742",43%,http://www.ucumberlands.edu
University of Toledo,https://www.niche.com/colleges/university-of-toledo/,NCAA Division I-FBS,94%,"12,936",43%,http://www.utoledo.edu/
University of West Florida,https://www.niche.com/colleges/university-of-west-florida/,NCAA Division II (with football),41%,"7,153",49%,http://uwf.edu
University of West Georgia,https://www.niche.com/colleges/university-of-west-georgia/,NCAA Division II (with football),59%,"9,084",41%,http://www.westga.edu
University of Wisconsin--Milwaukee,https://www.niche.com/colleges/university-of-wisconsin---milwaukee/,NCAA Division I (without football),73%,"17,598",40%,http://uwm.edu
Valdosta State University,https://www.niche.com/colleges/valdosta-state-university/,NCAA Division II (with football),65%,"7,185",36%,http://www.valdosta.edu
Wichita State University,https://www.niche.com/colleges/wichita-state-university/,NCAA Division I (without football),86%,"8,687",46%,http://www.wichita.edu
Wilmington University,https://www.niche.com/colleges/wilmington-university/,NCAA Division II (without football),100%,"3,425",33%,http://www.wilmu.edu
