Name,THE Ranking
Oakland University,801-1000
Portland State University,601-800
Prairie View A&M University,DNE
Sam Houston State University,DNE
San Francisco State University,DNE
Spalding University,DNE
Tennessee State University,DNE
Tennessee Technological University,DNE
Texas A&M University--Commerce,DNE
Texas A&M University--Corpus Christi,DNE
Texas A&M University--Kingsville,DNE
Texas Southern University,DNE
Texas State University,801-1000
Texas Woman's University,DNE
Trevecca Nazarene University,DNE
Trinity International University,DNE
University of Akron,DNE
University of Alabama--Huntsville,DNE
University of Arkansas--Little Rock,DNE
University of Louisiana--Lafayette,DNE
University of Louisiana--Monroe,DNE
University of Maryland--Eastern Shore,DNE
University of Memphis,DNE
University of Missouri--Kansas City,DNE
University of Nebraska--Omaha,DNE
University of Nevada--Las Vegas,601-800
University of New Orleans,DNE
University of Northern Colorado,DNE
University of North Texas,DNE
University of South Alabama,601-800
University of Southern Mississippi,1001+
University of Texas--El Paso,601-800
University of Texas--Rio Grande Valley,DNE
University of Texas--San Antonio,501-600
University of the Cumberlands,DNE
University of Toledo,501-600
University of West Florida,DNE
University of West Georgia,DNE
University of Wisconsin--Milwaukee,401-500
Valdosta State University,DNE
Wichita State University,DNE
Wilmington University,DNE
