Name,Panopath Link
Emory University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652511450&idx=1&sn=5c2296915a67192fb1ee18245d9cefb8&chksm=f39db060c4ea3976e0a9d51c2c34383eb4c740726175c66a70fa9be89af12a2c914891f29ece&scene=21#wechat_redirect
Georgetown University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652508783&idx=1&sn=7b78232494ff83318748094e1ffa78c3&chksm=f39dbed5c4ea37c32fbea20bf176ba53a0684bd9cd891eaa39b404b6887c3369ffec29036818&scene=21#wechat_redirect
University of California--Berkeley,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652505172&idx=1&sn=e5796549fe2b53108c87050a05f01d9e&chksm=f39da8eec4ea21f8ceb3f6498820ffdd80c6973e73b38980447475cf40f0492ef8de145b5421&scene=21#wechat_redirect
University of Southern California,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652507685&idx=1&sn=8a4f7be113704bee11367dab27ab9560&chksm=f39da29fc4ea2b89ed917fc9ac43c94bb2431c7cb01822a5ffd7b536a89430c9a0350cc9538f&scene=21#wechat_redirect
Carnegie Mellon University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652504167&idx=1&sn=2ae2fe4f3ed17fb12e3ec90d950d3d77&chksm=f39dacddc4ea25cbf3bf797e8929de716870d85039f7560e0f047a740bd9c31592b90aeec41c&scene=21#wechat_redirect
University of Virginia,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652510863&idx=1&sn=4e2d2e49982b927c3d56e2d1c8a1b6e1&chksm=f39db635c4ea3f23afc1a1aba0eb0bbf27005788bff85d71ab3e5b566fd3104b2307c3c75fba&scene=21#wechat_redirect
Tufts University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652511499&idx=1&sn=6ee3491f85e743bd82e6bc163d22c829&chksm=f39db1b1c4ea38a7586e7afad209213eaf62bb0e4d346f1436175054c5636cb3e9ee7f1213f7&scene=21#wechat_redirect
University of Michigan--Ann Arbor,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652511057&idx=1&sn=db28641686a73458a45a7ecfaf1ce169&chksm=f39db7ebc4ea3efdea1a242c1433410e010f94afa461dbbe7b5f00bb25b3cbe49a731dcb93ca&scene=21#wechat_redirect
Wake Forest University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652504398&idx=1&sn=4836da9c5982f537ca0e7592776ced53&chksm=f39dadf4c4ea24e2fbb1dcd04560d60e6b71ced9c1fee1680034303692bb576de9b75d790643&scene=21#wechat_redirect
New York University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652508863&idx=1&sn=b06455351927e5a46d184202b3b328de&chksm=f39dbe05c4ea37132742393a877dd3124ee0ceb1ad9c3583e771893c19f419ba004e9e029f17&scene=21#wechat_redirect
University of California--Santa Barbara,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652514525&idx=1&sn=d9353823f55708c14c1aadf595970fa5&chksm=f39d8467c4ea0d71dcd9f07d43d93bc360557356e264117a7899834b05d058f03cc053e9b097&scene=21#wechat_redirect
University of North Carolina--Chapel Hill,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652506442&idx=1&sn=291cdf652628ba0385dc3f8cb64a8980&chksm=f39da5f0c4ea2ce6ea0de8974e74a818154b007d8be6a191704f0c57be1f1408d0fe07c91705&scene=21#wechat_redirect
University of California--Irvine,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652504545&idx=1&sn=b3b16843975a37a1d7d3b466567a6be8&chksm=f39dad5bc4ea244d886fa7214584a86a69dcff228c1ac04042c004a709b92483a18cef819dfa&scene=21#wechat_redirect
University of Rochester,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652510764&idx=1&sn=c002b293ffaf2cfbdfd1fc3607b0f38a&chksm=f39db696c4ea3f8050b769a51eb4f847db66542f32dc69852b7e6765174825e42239d9eb5128&scene=21#wechat_redirect
Brandeis University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652513177&idx=1&sn=32c7d592d3a1f65eec0042b789906ca9&chksm=f39d8f23c4ea06355c3d60339a0d916f01c807bf739c901919bba2a0eb10b71bd9eaad8664f2&scene=21#wechat_redirect
Georgia Institute of Technology,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652503781&idx=1&sn=5f60430e05ad71810c4248dc90df067e&chksm=f39e525fc4e9db4904fbb5c69e3dde63671bb378410944eb2d54b08b456b374ce48adc7089fc&scene=21#wechat_redirect
University of Florida,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652509968&idx=1&sn=f97fc07800ecce09e96d5106719c7f4f&chksm=f39dbbaac4ea32bc9dcfbc9af829be7e3333a457211de325273dbf18c115133da9c62acc1ee6&scene=21#wechat_redirect
